STATION CODE,LOCATIONS,STATE,TEMPERATURE in degree Centigrade] - Mean,D.O. (mg/l) [> 4 mg/l] - Mean,pH [6.5-8.5] - Mean,CONDUCTIVITY (µmhos/cm)] - Mean,B.O.D. (mg/l) [< 3 mg/l] - Mean,Safe?,lat,lng,Unsafe Parameters
2708.0,"SURYA RIVER AT INTAKE OF VASAI-VIRAR W/S SCHEME, MASVAN, PALGHAR, THANE",MAHARASHTRA,27.7,7.03,8.0,205.56,2.92,Unsafe,,,['BOD']
2709.0,"TANSA RIVER NEAR ROAD BRIDGE, VILLAGE DAKEWALI, WADA, THANE",MAHARASHTRA,27.17,6.82,7.78,239.27,3.33,Unsafe,,,['BOD']
1093.0,ULHAS AT U/S OF NRC BUND AT MOHANE,MAHARASHTRA,26.8,6.42,7.55,152.35,3.16,Unsafe,,,['BOD']
1094.0,ULHAS AT U/S OF BADLAPUR,MAHARASHTRA,26.31,6.69,7.68,146.19,2.97,Unsafe,,,['BOD']
2162.0,ULHAS ATJAMBHUL WATER WORKS.,MAHARASHTRA,26.58,6.73,7.63,136.65,2.88,Unsafe,,,['BOD']
2712.0,"VAITARNA RIVER NEAR ROAD BRIDGE, GANDHARE VILLAGE, WADA, THANE.",MAHARASHTRA,27.58,6.57,7.84,228.07,3.45,Unsafe,,,['BOD']
2164.0,VASHISTI RIVER AT U/S OF THREE M PAPER MILLS NEAR M/S MULTIFILMS PLASTIC PVT. LTD. AT KHERDI.,MAHARASHTRA,22.58,7.05,7.71,409.15,2.37,Unsafe,,,['BOD']
2713.0,"VASHISHTI RIVER AT D/S OF THREE M PAPER MILLS NEAR CHIPLUN WATER INTAKE JACKWELL, KHERDI, RATNAGIRI",MAHARASHTRA,22.42,6.76,7.57,262.77,2.87,Unsafe,,,['BOD']
2714.0,"VASHISHTI RIVER AT U/S OF POPHALI NEAR KONPHANSAWANE BRIDGE, CHIPLUN, RATNAGIRI",MAHARASHTRA,22.58,6.95,7.47,337.89,2.32,Unsafe,,,['BOD']
1313.0,TAPI AT AJNAND VILLAGE,MAHARASHTRA,36.55,5.73,7.57,564.16,5.55,Unsafe,,,"['DO', 'BOD']"
1251.0,TAPI AT BHUSAWAL US,MAHARASHTRA,35.45,5.82,7.54,492.06,4.91,Unsafe,,,"['DO', 'BOD']"
1314.0,TAPI AT UPHAD VILLAGE,MAHARASHTRA,23.3,5.56,7.61,444.68,5.3,Unsafe,,,"['DO', 'BOD']"
1253.0,GIRNA AT MALEGAON (MANMAD),MAHARASHTRA,27.0,4.8,7.6,241.15,6.0,Unsafe,,,"['DO', 'BOD']"
