STATION CODE,LOCATIONS,ZIP,date_of_deployment,kit_status,,,,,,,,
1277,MAHANADI AT CUTTACK U/S,753004,,WORKING,,,,,,,,
1278,MAHANADI AT CUTTACK D/S,,,WORKING,,,,,,,,
2409,CUTTACK FDS (SERUA) AT SANKHATRASA,,,WORKING,,,,,,,,
2406,MUNDALI(WATER INTAKE POINT OF BHUBANESWAR CITY,,,WORKING,,,,,,,,
2404,POWER CHANNEL D/S NEAR BURLA,,,WORKING,,,,,,,,
2407,PARADEEP U/S (BEFORE INDL ACTIVITY AT PARADEEP),,,WORKING,,,,,,,,
1639,MAHANADI AT PARADEEPD/S,754142,,WORKING,,,,,,,,
1232,MAHI D/S CONF WITH R. CHAP (UNDER SAGWARA-SARHI RD. BDG.),,,WORKING,,,,,,,,
1864,MAHI AT MUJPUR,,,WORKING,,,,,,,,
4,MAHI AT SEVALIA,388245,,WORKING,,,,,,,,
1233,MAHI AT BADNAWAR,,,WORKING,,,,,,,,
1448,NAGAVALLI AT THOTAPALLI REGULATOR,,,WORKING,,,,,,,,
2352,"RIVER VAMSHADHARA, KALINGAPATNAM,VIZIANAGARAM",,,WORKING,,,,,,,,
3080,"U/S OF KARAKAVAGU AT PALONCHA,  KHAMMAM",,,WORKING,,,,,,,,
3081,"D/S OF KARAKAVAGU AT PALONCHA,  KHAMMAM",,,WORKING,,,,,,,,
1444,KALI AT D/S WEST COAST PAPER MILL,,,WORKING,,,,,,,,
2780,"KALI AT U/S OF WCPM, DANDELI",,,WORKING,,,,,,,,
2423,"BUDHABALANGA, D/S OF BARIPADA TOWN",,,WORKING,,,,,,,,
2424,BUDHABALANGA AT BALASORE D/S,,,WORKING,,,,,,,,
2425,"RIVER KERANDI(INTAKE WELL OF NALCO REFINARY, HAL, SUNABEDA)",,,WORKING,,,,,,,,
2422,"NAGAVALLI AT PENTA U/S, JAYKAYPUR TOWN",,,WORKING,,,,,,,,
1642,NAGAVALLI AT JAYKAYPUR D/S,,,WORKING,,,,,,,,
1643,NAGAVALLI AT RAYAGADA D/S,,,WORKING,,,,,,,,
1455,RUSHIKULYA AT GANJAM U/S,,,WORKING,,,,,,,,
1456,RUSHIKULYA AT GANJAM D/S,,,WORKING,,,,,,,,
2426,VANSADHARA AT MUNIGUDA (D/S OF M/S VEDANTAALUMINA PROJECT),,,WORKING,,,,,,,,
2427,VANSADHARA ATGUNUPUR (INTERSTATE BOUNDRY),,,WORKING,,,,,,,,
1450,PALAR AT VANIYAMBADI WATER SUPPLY HEAD WORK,,,WORKING,,,,,,,,
1159,TAMBIRAPARANI AT BDG.NR. MADURA COATS LTD. PAPAVINASAM,,,WORKING,,,,,,,,
1160,"TAMBIRAPARANI AT CHERANMADEVI,CAUSE WAY",,,WORKING,,,,,,,,
1161,"TAMBIRAPARANI AT TIRUNELVELI,COLLECTORATE",627425,,WORKING,,,,,,,,
1162,TAMBIRAPARANI AT MURAPPANADU,,,WORKING,,,,,,,,
1328,TAMBIRAPARANI AT PAPPANKULAM,627423,,WORKING,,,,,,,,
1329,TAMBIRAPARANI AT RAIL BDG. NR. AMBASAMUDAM,,,WORKING,,,,,,,,
1330,TAMBIRAPARANI AT ARUMUGANERI,,,WORKING,,,,,,,,
3025,"TAMBIRAPARANI AT ERAL, THOTHUKUDI",628801,,WORKING,,,,,,,,
3026,"TAMBIRAPARANI AT KALLIDAI KURICHI, TIRUNELVELI",627005,,WORKING,,,,,,,,
3027,"TAMBIRAPARANI AT SRIVAIKUNTAM, D/S OF SK ANAICUT, TIRUNELVELI",,,WORKING,,,,,,,,
3028,"TAMBIRAPARANI AT VELLAKOIL, TIRUNELVELI",,,WORKING,,,,,,,,
3029,"TAMBIRAPARANI AT SIVALAPERI, CONFLUENCE POINT OF KUTTRALAM FALLS, D/S OF PALAYAMKOTTAI, TIRUNELVELI",,,WORKING,,,,,,,,
3023,"VASISTA AT SALEM, D/S OF SAGO INDUSRIES EFFLUENT",,,WORKING,,,,,,,,
2267,"CREEK AT DANDO MOLLO,VELSAO, MAMUGAO",,,WORKING,,,,,,,,
2081,AMLAKHADI CREEK AT PUNGAM.,,,WORKING,,,,,,,,
1316,BASSEIN CREEK AT BASSIN IN THANE,,,WORKING,,,,,,,,
1318,MAHIM CREEK AT MAHIM BAY,400050,,WORKING,,,,,,,,
1317,THANE CREEK AT ELEPHANTA ISLAND,,,WORKING,,,,,,,,
2793,"THANE CREEK AT KALWA ROAD BRIDGE, KALWA, THANE",400601,,WORKING,,,,,,,,
2791,"ULHAS CREEK AT RETI BUNDER, D/S OF KALYAN- BHIWANDI BDG",,,WORKING,,,,,,,,
2792,"ULAHS CREEK AT MUMBRA RETI BUNDER, VILLAGE MUMBRA, THANE",,,WORKING,,,,,,,,
2794,"ULHAS CREEK AT KOSHLET RETI BUNDER, KOLSHET, THANE",,,WORKING,,,,,,,,
2795,"ULHAS CREEK AT GAIMUKH AT NAGLA BUNDER ON GHOD BUNDER ROAD, NAGLA, THANE",,,WORKING,,,,,,,,
2796,"ULHAS CREEK AT VERSOVA BRIDGE, VERSOVA, VASAI, THANE",,,WORKING,,,,,,,,
2184,VASHI CREEK AT AIROLI BRIDGE.,,,WORKING,,,,,,,,
